,Title,Published_date,Views,Month
0,How to Fix Fashion and Protect the Planet | Amy Powney | TED,10/9/23,15126,Oct
1,How Business Can Drive Solutions to Social Problems | Carlos Rodríguez-Pastor | TED,10/6/23,32568,Oct
2,The Encyclopedia of Invisibility — A Home for Lost Stories | Tavares Strachan | TED,10/5/23,26542,Oct
3,10 Lessons I Learned From Being a Nerd | Jordan Dinwiddie | TED,10/4/23,33688,Oct
4,The Truth About Human Population Decline | Jennifer D. Sciubba | TED,10/3/23,113339,Oct
5,"How to Build a Freelance Career That Works for You | The Way We Work, a TED series",10/3/23,65619,Oct
6,This Country Runs on 98 Percent Renewable Energy | Ramón Méndez Galain | TED,10/2/23,67350,Oct
7,The World’s Rarest Diseases — And How They Impact Everyone | Anna Greka | TED,9/29/23,59796,Sep
8,Why I Gave My Teenage Daughter a Vibrator | Robin Buckley | TED,9/28/23,86061,Sep
9,The Outlaws of the Ocean @TED #ted #shorts,9/27/23,27361,Sep
10,CRISPR's Next Advance Is Bigger Than You Think | Jennifer Doudna | TED,9/27/23,409807,Sep
11,"4 Tips to Future-Proof Your Career | The Way We Work, a TED series",9/26/23,51383,Sep
12,How I Found Myself — by Impersonating Other People | Melissa Villaseñor | TED,9/26/23,56930,Sep
13,Are We the Last Generation — or the First Sustainable One? | Hannah Ritchie | TED,9/25/23,57091,Sep
14,The Simple Solution to Fast Fashion | Josephine Philips | TED,9/22/23,59863,Sep
15,"The Secret to Successfully Pitching an Idea | The Way We Work, a TED series",9/21/23,48087,Sep
16,Can AI Help Solve the Climate Crisis? | Sims Witherspoon | TED,9/21/23,43659,Sep
17,Why Thinking About Death Helps You Live a Better Life @TED #ted #shorts,9/20/23,38866,Sep
18,How to Supercharge Renewables and Energize the World | Rebecca Collyer | TED,9/20/23,26602,Sep
19,An Economy Powered by Sun and Wind — It’s Almost Here | Kala Constantino | TED,9/19/23,22325,Sep
20,How to Solve the World’s Biggest Problems | Natalie Cargill |  TED,9/18/23,43201,Sep
21,An Extreme Weather Report From America’s Weatherman | Al Roker | TED,9/18/23,47305,Sep
22,A 3-Step Guide to Believing in Yourself @TED #ted #shorts,9/15/23,64598,Sep
23,Can the US and China Take On Climate Change Together? | Changhua Wu | TED,9/15/23,37717,Sep
24,The Single Most Important Parenting Strategy | Becky Kennedy | TED,9/14/23,475704,Sep
25,Does More Freedom at Work Mean More Fulfillment? | Sarah Aviram | TED,9/13/23,33953,Sep
26,Birds Aren’t Real? How a Conspiracy Takes Flight | Peter McIndoe | TED,9/13/23,820081,Sep
27,"How to Succeed in Your New Job | The Way We Work, a TED series",9/12/23,58717,Sep
